Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Metal (product.metafields.custom.metal),Primary Stone (product.metafields.custom.primary_stone),Carat Total (product.metafields.custom.carat_total),Era (product.metafields.custom.era),Circa (product.metafields.custom.circa),Maker (product.metafields.custom.maker),Provenance (product.metafields.custom.provenance),Status
art-deco-platinum-diamond-ring-circa-1930,"Art Deco Platinum Diamond Ring, Circa 1930","<p>A crisp Art Deco ring centered with a bright old European cut diamond in a finely pierced platinum setting. Sourced from a New England estate, the geometric gallery and hand-applied milgrain show the confident craftsmanship of the period.</p>","Rozaya Boutique","Apparel & Accessories > Jewelry","Ring","jewelry, ring, metal:platinum, stone:diamond, era:art-deco, style:estate, condition:excellent",TRUE,Title,Default Title,RB-RING-001,5,shopify,1,deny,manual,12500,,TRUE,TRUE,,https://picsum.photos/800/800?random=101,"Art Deco platinum diamond ring, circa 1930",FALSE,"Art Deco Platinum Diamond Ring, Circa 1930","Estate Art Deco platinum diamond ring with old European cut diamond, circa 1930.",platinum,diamond,1.45,art-deco,1930,unknown,"New England estate",active
victorian-14k-gold-ruby-ring-circa-1885,"Victorian 14k Gold Ruby Ring, Circa 1885","<p>A romantic Victorian ruby ring with a glowing central stone framed by hand-carved gold shoulders. Acquired from a family collection in Philadelphia, it carries the warmth and sentimentality that defined late nineteenth-century jewels.</p>","Rozaya Boutique","Apparel & Accessories > Jewelry","Ring","jewelry, ring, metal:14k-gold, stone:ruby, era:victorian, style:antique, condition:very-good",TRUE,Title,Default Title,RB-RING-002,4,shopify,1,deny,manual,1850,2200,TRUE,TRUE,,https://picsum.photos/800/800?random=102,"Victorian 14k gold ruby ring, circa 1885",FALSE,"Victorian 14k Gold Ruby Ring, Circa 1885","Antique Victorian 14k gold ruby ring from a Philadelphia family collection.",14k-gold,ruby,0.62,victorian,1885,unknown,"Philadelphia family collection",active
contemporary-artisan-sterling-silver-ring-circa-2023,"Contemporary Artisan Sterling Silver Ring, Circa 2023","<p>A sculptural sterling silver ring made by a contemporary studio jeweler with a softly hammered profile. Selected directly from the maker, the piece balances everyday wearability with visible handwork and modern restraint.</p>","Rozaya Boutique","Apparel & Accessories > Jewelry","Ring","jewelry, ring, metal:sterling-silver, stone:no-stone, era:contemporary, style:artisan, condition:excellent",TRUE,Title,Default Title,RB-RING-003,7,shopify,2,deny,manual,185,,TRUE,TRUE,,https://picsum.photos/800/800?random=103,"Contemporary artisan sterling silver ring, circa 2023",FALSE,"Contemporary Artisan Sterling Silver Ring, Circa 2023","Handmade contemporary sterling silver ring with a sculptural hammered profile.",sterling-silver,no-stone,0,contemporary,2023,"independent studio artist","Direct from maker",active
mid-century-14k-gold-sapphire-ring-circa-1962,"Mid-Century 14k Gold Sapphire Ring, Circa 1962","<p>A tailored mid-century sapphire ring with a deep blue stone held in a clean 14k yellow gold mounting. Found through a Palm Springs estate, its low profile and crisp lines speak to refined cocktail-era design.</p>","Rozaya Boutique","Apparel & Accessories > Jewelry","Ring","jewelry, ring, metal:14k-gold, stone:sapphire, era:mid-century, style:estate, condition:very-good",TRUE,Title,Default Title,RB-RING-004,6,shopify,1,deny,manual,1450,,TRUE,TRUE,,https://picsum.photos/800/800?random=104,"Mid-century 14k gold sapphire ring, circa 1962",FALSE,"Mid-Century 14k Gold Sapphire Ring, Circa 1962","Mid-century estate sapphire ring in 14k gold from a Palm Springs estate.",14k-gold,sapphire,0.88,mid-century,1962,unknown,"Palm Springs estate",active
edwardian-platinum-pearl-choker-circa-1908,"Edwardian Platinum Pearl Choker, Circa 1908","<p>An elegant Edwardian choker composed of luminous pearls with a delicate platinum clasp. Provenanced from a Charleston estate, the necklace reflects the era's refined preference for lightness, symmetry, and graceful hand finishing.</p>","Rozaya Boutique","Apparel & Accessories > Jewelry","Necklace","jewelry, necklace, metal:platinum, stone:pearl, era:edwardian, style:antique, condition:excellent",TRUE,Title,Default Title,RB-NECK-001,28,shopify,1,deny,manual,4200,4900,TRUE,TRUE,,https://picsum.photos/800/800?random=105,"Edwardian platinum pearl choker, circa 1908",FALSE,"Edwardian Platinum Pearl Choker, Circa 1908","Antique Edwardian pearl choker with platinum clasp from a Charleston estate.",platinum,pearl,0,edwardian,1908,unknown,"Charleston estate",active
art-nouveau-gold-plated-opal-pendant-circa-1900,"Art Nouveau Gold-Plated Opal Pendant, Circa 1900","<p>A lyrical Art Nouveau pendant with a soft opal glow and flowing botanical curves. Sourced from an upstate New York collection, its graceful lines and careful metalwork capture the movement's fascination with natural forms.</p>","Rozaya Boutique","Apparel & Accessories > Jewelry","Pendant Necklace","jewelry, necklace, pendant, metal:gold-plated, stone:opal, era:art-nouveau, style:antique, condition:good",TRUE,Title,Default Title,RB-NECK-002,18,shopify,1,deny,manual,875,,TRUE,TRUE,,https://picsum.photos/800/800?random=106,"Art Nouveau gold-plated opal pendant, circa 1900",FALSE,"Art Nouveau Gold-Plated Opal Pendant, Circa 1900","Antique Art Nouveau opal pendant with botanical gold-plated details.",gold-plated,opal,0.35,art-nouveau,1900,unknown,"Upstate New York collection",active
contemporary-18k-gold-chain-circa-2024,"Contemporary 18k Gold Chain, Circa 2024","<p>A contemporary 18k yellow gold chain with a fluid paperclip silhouette and polished finish. Purchased from a small atelier in Los Angeles, it shows precise soldering and a versatile scale suited for layering or solo wear.</p>","Rozaya Boutique","Apparel & Accessories > Jewelry","Chain Necklace","jewelry, necklace, chain, metal:18k-gold, stone:no-stone, era:contemporary, style:artisan, condition:excellent",TRUE,Title,Default Title,RB-NECK-003,22,shopify,3,deny,manual,980,,TRUE,TRUE,,https://picsum.photos/800/800?random=107,"Contemporary 18k gold chain, circa 2024",FALSE,"Contemporary 18k Gold Chain, Circa 2024","Modern artisan 18k gold paperclip chain made by a Los Angeles atelier.",18k-gold,no-stone,0,contemporary,2024,"Los Angeles atelier","Direct from atelier",active
georgian-18k-gold-bangle-circa-1825,"Georgian 18k Gold Bangle, Circa 1825","<p>A rare Georgian bangle in warm 18k gold with restrained chased detail and a secure period-style clasp. From a private Virginia collection, the bracelet preserves early nineteenth-century handwork with a quiet, architectural presence.</p>","Rozaya Boutique","Apparel & Accessories > Jewelry","Bangle","jewelry, bracelet, bangle, metal:18k-gold, stone:no-stone, era:georgian, style:antique, condition:very-good",TRUE,Title,Default Title,RB-BRAC-001,19,shopify,1,deny,manual,6800,,TRUE,TRUE,,https://picsum.photos/800/800?random=108,"Georgian 18k gold bangle, circa 1825",FALSE,"Georgian 18k Gold Bangle, Circa 1825","Antique Georgian 18k gold bangle from a private Virginia collection.",18k-gold,no-stone,0,georgian,1825,unknown,"Private Virginia collection",active
retro-white-gold-diamond-tennis-bracelet-circa-1945,"Retro White Gold Diamond Tennis Bracelet, Circa 1945","<p>A sleek retro-era tennis bracelet set with bright diamonds in white gold links. Acquired from a Chicago estate, it combines mid-century glamour with meticulous stone matching and a supple articulated construction.</p>","Rozaya Boutique","Apparel & Accessories > Jewelry","Bracelet","jewelry, bracelet, metal:white-gold, stone:diamond, era:retro, style:estate, condition:excellent",TRUE,Title,Default Title,RB-BRAC-002,17,shopify,1,deny,manual,7600,8400,TRUE,TRUE,,https://picsum.photos/800/800?random=109,"Retro white gold diamond tennis bracelet, circa 1945",FALSE,"Retro White Gold Diamond Tennis Bracelet, Circa 1945","Estate retro white gold diamond tennis bracelet from a Chicago estate.",white-gold,diamond,3.2,retro,1945,unknown,"Chicago estate",active
contemporary-artisan-copper-cuff-circa-2022,"Contemporary Artisan Copper Cuff, Circa 2022","<p>A hand-forged copper cuff with a satin surface and softly rounded edges. Sourced directly from an Arizona metalsmith, the bracelet celebrates visible hammering, warm patina, and contemporary studio craftsmanship.</p>","Rozaya Boutique","Apparel & Accessories > Jewelry","Cuff Bracelet","jewelry, bracelet, metal:copper, stone:no-stone, era:contemporary, style:artisan, condition:excellent",TRUE,Title,Default Title,RB-BRAC-003,24,shopify,4,deny,manual,125,165,TRUE,TRUE,,https://picsum.photos/800/800?random=110,"Contemporary artisan copper cuff, circa 2022",FALSE,"Contemporary Artisan Copper Cuff, Circa 2022","Hand-forged contemporary copper cuff from an Arizona metalsmith.",copper,no-stone,0,contemporary,2022,"Arizona metalsmith","Direct from maker",active
victorian-14k-gold-garnet-drop-earrings-circa-1890,"Victorian 14k Gold Garnet Drop Earrings, Circa 1890","<p>A pair of Victorian garnet drop earrings with rich wine-red stones suspended from 14k gold fittings. Found in a Savannah estate, the earrings retain their romantic movement and fine period proportions.</p>","Rozaya Boutique","Apparel & Accessories > Jewelry","Earrings","jewelry, earrings, metal:14k-gold, stone:garnet, era:victorian, style:antique, condition:very-good",TRUE,Title,Default Title,RB-EARR-001,5,shopify,1,deny,manual,1325,,TRUE,TRUE,,https://picsum.photos/800/800?random=111,"Victorian 14k gold garnet drop earrings, circa 1890",FALSE,"Victorian 14k Gold Garnet Drop Earrings, Circa 1890","Antique Victorian garnet drop earrings in 14k gold from a Savannah estate.",14k-gold,garnet,1.1,victorian,1890,unknown,"Savannah estate",active
contemporary-platinum-diamond-studs-circa-2024,"Contemporary Platinum Diamond Studs, Circa 2024","<p>Classic contemporary diamond studs set in secure platinum basket mountings. Chosen from a New York bench jeweler, the pair emphasizes clean setting work, balanced proportions, and everyday brilliance.</p>","Rozaya Boutique","Apparel & Accessories > Jewelry","Earrings","jewelry, earrings, metal:platinum, stone:diamond, era:contemporary, style:artisan, condition:excellent",TRUE,Title,Default Title,RB-EARR-002,3,shopify,2,deny,manual,2450,2750,TRUE,TRUE,,https://picsum.photos/800/800?random=112,"Contemporary platinum diamond studs, circa 2024",FALSE,"Contemporary Platinum Diamond Studs, Circa 2024","Contemporary platinum diamond stud earrings from a New York bench jeweler.",platinum,diamond,0.74,contemporary,2024,"New York bench jeweler","Direct from maker",active
art-deco-silver-marcasite-brooch-circa-1932,"Art Deco Silver Marcasite Brooch, Circa 1932","<p>A sharply patterned Art Deco brooch in silver with glittering marcasite-style faceting. From a St. Louis estate, its stepped geometry and careful pavé work make it an expressive period accent.</p>","Rozaya Boutique","Apparel & Accessories > Jewelry","Brooch","jewelry, brooch, metal:silver, stone:no-stone, era:art-deco, style:estate, condition:good",TRUE,Title,Default Title,RB-BROO-001,12,shopify,1,deny,manual,295,375,TRUE,TRUE,,https://picsum.photos/800/800?random=113,"Art Deco silver marcasite brooch, circa 1932",FALSE,"Art Deco Silver Marcasite Brooch, Circa 1932","Estate Art Deco silver marcasite brooch from a St. Louis estate.",silver,no-stone,0,art-deco,1932,unknown,"St. Louis estate",active
victorian-gold-filled-cameo-brooch-circa-1875,"Victorian Gold-Filled Cameo Brooch, Circa 1875","<p>A Victorian cameo brooch in a gold-filled frame with a finely carved profile and rope-edge detail. Sourced from a Maine family archive, the piece speaks to personal keepsake traditions and careful nineteenth-century carving.</p>","Rozaya Boutique","Apparel & Accessories > Jewelry","Brooch","jewelry, brooch, metal:gold-filled, stone:no-stone, era:victorian, style:antique, condition:fair",TRUE,Title,Default Title,RB-BROO-002,14,shopify,1,deny,manual,385,,TRUE,TRUE,,https://picsum.photos/800/800?random=114,"Victorian gold-filled cameo brooch, circa 1875",FALSE,"Victorian Gold-Filled Cameo Brooch, Circa 1875","Antique Victorian gold-filled cameo brooch from a Maine family archive.",gold-filled,no-stone,0,victorian,1875,unknown,"Maine family archive",active
mid-century-14k-gold-charm-bracelet-circa-1958,"Mid-Century 14k Gold Charm Bracelet, Circa 1958","<p>A mid-century 14k gold charm bracelet assembled with travel, heart, and keepsake charms collected over time. From a California estate, it has the personal narrative quality collectors love, with sturdy links and well-preserved charm details.</p>","Rozaya Boutique","Apparel & Accessories > Jewelry","Charm Bracelet","jewelry, bracelet, charm, metal:14k-gold, stone:no-stone, era:mid-century, style:collectible, condition:very-good",TRUE,Title,Default Title,RB-BRAC-004,25,shopify,1,deny,manual,3250,,TRUE,TRUE,,https://picsum.photos/800/800?random=115,"Mid-century 14k gold charm bracelet, circa 1958",FALSE,"Mid-Century 14k Gold Charm Bracelet, Circa 1958","Collectible mid-century 14k gold charm bracelet from a California estate.",14k-gold,no-stone,0,mid-century,1958,unknown,"California estate",active
